# FRECHET
# genspc	taxon	samples	   llmt	 median	   rrmt	entropy	          a1         mu1      theta1      kappa1         mu2      theta2      kappa2	rRMSE        AIC         BIC
acancast	 O_Am	 89038	     16	   93.8	    458	-2.1683	  7.6046e-02  3.5614e+00  4.1047e+01  1.3162e+00  8.7713e+00  7.7232e+01  3.5296e+00  1.5060e-04  8.8896e+05  8.8902e+05
acanchlo	 M_Av	 114782	     29	  870.1	  37385	-3.6306	  1.0398e-01  5.9383e+01  3.8559e+01  1.3050e+00 -1.7669e+02  9.0049e+02  1.3907e+00  2.9335e-05  1.9190e+06  1.9191e+06
acanvite	 M_Ne	 80270	     16	  226.9	   2741	-2.8023	  3.6171e-01  4.2629e+01  7.4945e+01  1.2037e+00 -2.8608e+02  5.0520e+02  4.5334e+00  8.6348e-05  1.0357e+06  1.0358e+06
acidrich	 F_As	 18147	     17	   61.8	    603	-1.9576	  7.1367e-01  1.5558e+01  4.0463e+01  6.1663e+00 -5.7468e+01  1.4262e+02  2.6350e+00  3.3003e-04  1.6361e+05  1.6366e+05
acrestri	 F_As	 27220	     17	   60.1	    863	-1.8491	  8.6808e-01  3.2787e+01  2.2872e+01  3.2550e+00 -2.0330e+01  1.3279e+02  1.7179e+00  3.7348e-04  2.3174e+05  2.3180e+05
acrodigi	 M_Cn	 134071	     20	  587.5	  19778	-3.4311	  7.9165e-02 -8.9886e+01  1.8686e+02  8.8059e+00 -1.2296e+02  6.0395e+02  1.4916e+00  3.3356e-05  2.1199e+06  2.1199e+06
acroechi	 M_In	 76570	     31	  283.1	 155544	-3.2992	  2.6128e-01 -5.7902e+00  8.4716e+01  6.3710e+00  1.6879e+01  3.1264e+02  8.0394e-01  4.8838e-05  1.1630e+06  1.1630e+06
acytsubg	 O_Am	 22585	     29	   76.3	    629	-1.9037	  8.5706e-01 -1.1490e+02  1.8526e+02  1.8888e+01 -1.1136e+01  1.1801e+02  1.9721e+00  3.7401e-04  1.9793e+05  1.9799e+05
agarbisp	 F_Ba	 53380	     16	   55.1	    619	-1.5893	  8.9163e-01 -5.9268e+00  5.8327e+01  1.2786e+01 -4.1136e+00  7.9546e+01  1.4830e+00  3.1141e-04  3.9063e+05  3.9070e+05
agarhyph	 F_Ba	 43348	     17	   56.0	    211	-1.4327	  9.4025e-01  4.7267e+00  4.9043e+01  1.1996e+01 -1.8026e+01  8.7451e+01  2.5314e+00  7.0074e-04  2.8578e+05  2.8584e+05
albucand	 O_St	 20137	     16	   56.3	   1179	-1.8179	  7.7290e-01 -9.4679e+01  1.4727e+02  3.0000e+01 -1.1427e+01  8.8562e+01  1.4643e+00  7.1662e-04  1.6827e+05  1.6833e+05
albulaib	 O_St	 20079	     17	   56.0	   3638	-1.7850	  8.8391e-01 -1.1698e+02  1.6935e+02  3.0000e+01 -3.5721e+01  2.4338e+02  1.1506e+00  6.9279e-04  1.6434e+05  1.6440e+05
allimiss	 M_Rp	 185851	     30	 1422.5	 212782	-3.9585	  1.1350e-01  6.5685e+01  5.4947e+01  8.2646e-01 -1.2342e+02  1.2366e+03  1.0100e+00  1.6176e-05  3.3841e+06  3.3842e+06
allisine	 M_Rp	 181237	     30	 1427.8	 196015	-3.9552	  1.0030e-01  6.6270e+01  5.3323e+01  8.5509e-01 -1.4071e+02  1.2404e+03  1.0285e+00  1.6154e-05  3.2977e+06  3.2977e+06
altealte	 F_As	 26981	     20	   55.4	    592	-1.8204	  7.6514e-01  3.4408e+01  1.6608e+01  3.4192e+00 -2.2039e+01  1.0812e+02  2.2114e+00  6.3647e-04  2.2618e+05  2.2624e+05
amanmusc	 F_Ba	 60818	     16	   53.0	    449	-1.4783	  9.2645e-02  3.2478e+00  5.3873e+01  1.3678e+00 -6.5911e+01  1.1678e+02  3.0000e+01  3.2436e-04  4.1379e+05  4.1385e+05
amanthie	 F_Ba	 78992	     16	   56.4	    397	-1.7114	  8.5786e-01  2.7960e+01  2.4961e+01  4.4038e+00 -2.2799e+01  9.5644e+01  2.2535e+00  3.3316e-04  6.2228e+05  6.2235e+05
amnilign	 F_As	 29924	     16	   55.8	    763	-1.9038	  6.6888e-01  3.1271e+01  1.9660e+01  4.4241e+00 -1.1275e+01  9.0076e+01  1.9451e+00  3.3599e-04  2.6236e+05  2.6241e+05
amphquee	 M_Po	 225902	     16	   76.2	   5213	-2.5121	  4.7975e-01  2.6305e+01  2.3056e+01  3.4242e+00 -2.3493e+01  1.7407e+02  1.3631e+00  9.8352e-05  2.6115e+06  2.6116e+06
amyetran	 M_In	 85305	     17	  567.7	  43218	-3.5035	  4.0800e-02  1.2191e+01  6.9765e+01  7.8198e+00 -2.6700e+01  4.8779e+02  1.1715e+00  5.1372e-05  1.3787e+06  1.3788e+06
anasplat	 M_Av	 166994	     29	 1091.6	 136096	-3.8373	  7.1764e-02  5.4293e+01  4.3062e+01  1.8278e+00 -1.0563e+02  9.5400e+02  1.0524e+00  1.8180e-05  2.9502e+06  2.9502e+06
ancyduod	 M_Ne	 105752	     16	  116.2	   5339	-2.7517	  4.8207e-01  4.3242e+01  1.8368e+01  1.5684e+00 -1.6838e+02  4.2513e+02  1.8150e+00  1.4453e-04  1.3438e+06  1.3439e+06
anolcaro	 M_Rp	 153034	     22	 1656.2	 136657	-3.9789	  1.1038e-01  7.0805e+01  5.6675e+01  7.7537e-01 -2.1948e+02  1.5690e+03  1.1710e+00  1.8408e-05  2.8047e+06  2.8048e+06
anopglab	 M_In	 598	     48	  274.0	  76169	-3.2760	  5.0957e-01  4.6973e+01  1.9108e+01  7.3399e-01 -2.5751e+02  1.0034e+03  1.1183e+00  1.9548e-03  9.1610e+03  9.1917e+03
anthavoc	 F_As	 36067	     16	   66.4	    757	-2.1159	  6.6349e-01  3.7460e+01  2.0049e+01  2.2224e+00 -4.3917e+01  1.2916e+02  2.3283e+00  3.0992e-04  3.5141e+05  3.5147e+05
